count,PT.xy,enable,used,BG,IndexName,rotate,rotateSpd,Button,Func,normal,over,select,disenable
120,120,1,0,0,home,0,0.02,0,99,mainmenu_img_main_1.png,0,0,0
70,120,0,0,0,heroabil_0,0,0,1,20,mainmenu_button_ability_title_0.png,mainmenu_button_ability_title_0.png,mainmenu_button_ability_title_0.png,mainmenu_button_ability_title_0.png
70,190,0,0,0,heroabil_1,0,0,1,21,mainmenu_button_ability_title_1.png,mainmenu_button_ability_title_1.png,mainmenu_button_ability_title_1.png,mainmenu_button_ability_title_1.png
70,260,0,0,0,heroabil_2,0,0,1,22,mainmenu_button_ability_title_2.png,mainmenu_button_ability_title_2.png,mainmenu_button_ability_title_2.png,mainmenu_button_ability_title_2.png
70,330,0,0,0,heroabil_3,0,0,1,23,mainmenu_button_ability_title_3.png,mainmenu_button_ability_title_3.png,mainmenu_button_ability_title_3.png,mainmenu_button_ability_title_3.png
70,400,0,0,0,heroabil_4,0,0,1,24,mainmenu_button_ability_title_4.png,mainmenu_button_ability_title_4.png,mainmenu_button_ability_title_4.png,mainmenu_button_ability_title_4.png
70,470,0,0,0,heroabil_5,0,0,1,25,mainmenu_button_ability_title_5.png,mainmenu_button_ability_title_5.png,mainmenu_button_ability_title_5.png,mainmenu_button_ability_title_5.png
70,540,0,0,0,heroabil_6,0,0,1,26,mainmenu_button_ability_title_6.png,mainmenu_button_ability_title_6.png,mainmenu_button_ability_title_6.png,mainmenu_button_ability_title_6.png
400,150,0,0,0,heroabil_1_popup,0,0,1,27,mainmenu_button_ability_title_1_popup.png,mainmenu_button_ability_title_1_popup.png,mainmenu_button_ability_title_1_popup.png,mainmenu_button_ability_title_1_popup.png
400,220,0,0,0,heroabil_2_popup,0,0,1,28,mainmenu_button_ability_title_2_popup.png,mainmenu_button_ability_title_2_popup.png,mainmenu_button_ability_title_2_popup.png,mainmenu_button_ability_title_2_popup.png
400,290,0,0,0,heroabil_3_popup,0,0,1,29,mainmenu_button_ability_title_3_popup.png,mainmenu_button_ability_title_3_popup.png,mainmenu_button_ability_title_3_popup.png,mainmenu_button_ability_title_3_popup.png
400,360,0,0,0,heroabil_4_popup,0,0,1,30,mainmenu_button_ability_title_4_popup.png,mainmenu_button_ability_title_4_popup.png,mainmenu_button_ability_title_4_popup.png,mainmenu_button_ability_title_4_popup.png
400,430,0,0,0,heroabil_5_popup,0,0,1,31,mainmenu_button_ability_title_5_popup.png,mainmenu_button_ability_title_5_popup.png,mainmenu_button_ability_title_5_popup.png,mainmenu_button_ability_title_5_popup.png
400,500,0,0,0,heroabil_6_popup,0,0,1,32,mainmenu_button_ability_title_6_popup.png,mainmenu_button_ability_title_6_popup.png,mainmenu_button_ability_title_6_popup.png,mainmenu_button_ability_title_6_popup.png
,,,,,,,,,,,,,
,,,,,,,,,,,,,
cInGame,,,,,,,,,,,,,
85,PT.xy,enable,used,BG,IndexName,rotate,rotateSpd,Button,Func,normal,over,select,disenable
500,780,1,0,1,botboard,0,0,0,99,ingame_img_bottom_bord_bg.png,0,0,0
585,740,0,0,0,abil1img,0,0,0,99,ingame_img_ability1.png,0,0,0
660,740,0,0,0,abil2img,0,0,0,99,ingame_img_ability2.png,0,0,0
735,740,0,0,0,abil3img,0,0,0,99,ingame_img_ability3.png,0,0,0
810,740,0,0,0,abil4img,0,0,0,99,ingame_img_ability4.png,0,0,0
885,740,0,0,0,abil5img,0,0,0,99,ingame_img_ability5.png,0,0,0
585,740,0,0,0,abil1,0,0,1,101,ingame_btn_hero_skill_1.png,ingame_btn_hero_skill_2.dds,ingame_btn_hero_skill_2.dds,ingame_btn_hero_skill_4.png
660,740,0,0,0,abil2,0,0,1,102,ingame_btn_hero_skill_1.png,ingame_btn_hero_skill_2.dds,ingame_btn_hero_skill_2.dds,ingame_btn_hero_skill_4.png
735,740,0,0,0,abil3,0,0,1,103,ingame_btn_hero_skill_1.png,ingame_btn_hero_skill_2.dds,ingame_btn_hero_skill_2.dds,ingame_btn_hero_skill_4.png
810,740,0,0,0,abil4,0,0,1,104,ingame_btn_hero_skill_1.png,ingame_btn_hero_skill_2.dds,ingame_btn_hero_skill_2.dds,ingame_btn_hero_skill_4.png
885,740,0,0,0,abil5,0,0,1,105,ingame_btn_hero_skill_1.png,ingame_btn_hero_skill_2.dds,ingame_btn_hero_skill_2.dds,ingame_btn_hero_skill_4.png
585,740,1,0,0,skill1lock,0,0,0,0,ingame_btn_hero_skill_lock.png,0,0,0
660,740,1,0,0,skill2lock,0,0,0,0,ingame_btn_hero_skill_lock.png,0,0,0
735,740,1,0,0,skill3lock,0,0,0,0,ingame_btn_hero_skill_lock.png,0,0,0
810,740,1,0,0,skill4lock,0,0,0,0,ingame_btn_hero_skill_lock.png,0,0,0
885,740,1,0,0,skill5lock,0,0,0,0,ingame_btn_hero_skill_lock.png,0,0,0
600,760,0,0,0,skill1cool0,0,0,1,0,ingame_img_count_0.png,ingame_img_count_0.png,ingame_img_count_0.png,ingame_img_count_0.png
675,760,0,0,0,skill2cool0,0,0,1,0,ingame_img_count_0.png,ingame_img_count_0.png,ingame_img_count_0.png,ingame_img_count_0.png
750,760,0,0,0,skill3cool0,0,0,1,0,ingame_img_count_0.png,ingame_img_count_0.png,ingame_img_count_0.png,ingame_img_count_0.png
825,760,0,0,0,skill4cool0,0,0,1,0,ingame_img_count_0.png,ingame_img_count_0.png,ingame_img_count_0.png,ingame_img_count_0.png
900,760,0,0,0,skill5cool0,0,0,1,0,ingame_img_count_0.png,ingame_img_count_0.png,ingame_img_count_0.png,ingame_img_count_0.png
600,760,0,0,0,skill1cool1,0,0,1,0,ingame_img_count_1.png,ingame_img_count_1.png,ingame_img_count_1.png,ingame_img_count_1.png
675,760,0,0,0,skill2cool1,0,0,1,0,ingame_img_count_1.png,ingame_img_count_1.png,ingame_img_count_1.png,ingame_img_count_1.png
750,760,0,0,0,skill3cool1,0,0,1,0,ingame_img_count_1.png,ingame_img_count_1.png,ingame_img_count_1.png,ingame_img_count_1.png
825,760,0,0,0,skill4cool1,0,0,1,0,ingame_img_count_1.png,ingame_img_count_1.png,ingame_img_count_1.png,ingame_img_count_1.png
900,760,0,0,0,skill5cool1,0,0,1,0,ingame_img_count_1.png,ingame_img_count_1.png,ingame_img_count_1.png,ingame_img_count_1.png
600,760,0,0,0,skill1cool2,0,0,1,0,ingame_img_count_2.png,ingame_img_count_2.png,ingame_img_count_2.png,ingame_img_count_2.png
675,760,0,0,0,skill2cool2,0,0,1,0,ingame_img_count_2.png,ingame_img_count_2.png,ingame_img_count_2.png,ingame_img_count_2.png
750,760,0,0,0,skill3cool2,0,0,1,0,ingame_img_count_2.png,ingame_img_count_2.png,ingame_img_count_2.png,ingame_img_count_2.png
825,760,0,0,0,skill4cool2,0,0,1,0,ingame_img_count_2.png,ingame_img_count_2.png,ingame_img_count_2.png,ingame_img_count_2.png
900,760,0,0,0,skill5cool2,0,0,1,0,ingame_img_count_2.png,ingame_img_count_2.png,ingame_img_count_2.png,ingame_img_count_2.png
600,760,0,0,0,skill1cool3,0,0,1,0,ingame_img_count_3.png,ingame_img_count_3.png,ingame_img_count_3.png,ingame_img_count_3.png
675,760,0,0,0,skill2cool3,0,0,1,0,ingame_img_count_3.png,ingame_img_count_3.png,ingame_img_count_3.png,ingame_img_count_3.png
750,760,0,0,0,skill3cool3,0,0,1,0,ingame_img_count_3.png,ingame_img_count_3.png,ingame_img_count_3.png,ingame_img_count_3.png
825,760,0,0,0,skill4cool3,0,0,1,0,ingame_img_count_3.png,ingame_img_count_3.png,ingame_img_count_3.png,ingame_img_count_3.png
900,760,0,0,0,skill5cool3,0,0,1,0,ingame_img_count_3.png,ingame_img_count_3.png,ingame_img_count_3.png,ingame_img_count_3.png
600,760,0,0,0,skill1cool4,0,0,1,0,ingame_img_count_4.png,ingame_img_count_4.png,ingame_img_count_4.png,ingame_img_count_4.png
675,760,0,0,0,skill2cool4,0,0,1,0,ingame_img_count_4.png,ingame_img_count_4.png,ingame_img_count_4.png,ingame_img_count_4.png
750,760,0,0,0,skill3cool4,0,0,1,0,ingame_img_count_4.png,ingame_img_count_4.png,ingame_img_count_4.png,ingame_img_count_4.png
825,760,0,0,0,skill4cool4,0,0,1,0,ingame_img_count_4.png,ingame_img_count_4.png,ingame_img_count_4.png,ingame_img_count_4.png
900,760,0,0,0,skill5cool4,0,0,1,0,ingame_img_count_4.png,ingame_img_count_4.png,ingame_img_count_4.png,ingame_img_count_4.png
600,760,0,0,0,skill1cool5,0,0,1,0,ingame_img_count_5.png,ingame_img_count_5.png,ingame_img_count_5.png,ingame_img_count_5.png
675,760,0,0,0,skill2cool5,0,0,1,0,ingame_img_count_5.png,ingame_img_count_5.png,ingame_img_count_5.png,ingame_img_count_5.png
750,760,0,0,0,skill3cool5,0,0,1,0,ingame_img_count_5.png,ingame_img_count_5.png,ingame_img_count_5.png,ingame_img_count_5.png
825,760,0,0,0,skill4cool5,0,0,1,0,ingame_img_count_5.png,ingame_img_count_5.png,ingame_img_count_5.png,ingame_img_count_5.png
900,760,0,0,0,skill5cool5,0,0,1,0,ingame_img_count_5.png,ingame_img_count_5.png,ingame_img_count_5.png,ingame_img_count_5.png
600,760,0,0,0,skill1cool6,0,0,1,0,ingame_img_count_6.png,ingame_img_count_6.png,ingame_img_count_6.png,ingame_img_count_6.png
675,760,0,0,0,skill2cool6,0,0,1,0,ingame_img_count_6.png,ingame_img_count_6.png,ingame_img_count_6.png,ingame_img_count_6.png
750,760,0,0,0,skill3cool6,0,0,1,0,ingame_img_count_6.png,ingame_img_count_6.png,ingame_img_count_6.png,ingame_img_count_6.png
825,760,0,0,0,skill4cool6,0,0,1,0,ingame_img_count_6.png,ingame_img_count_6.png,ingame_img_count_6.png,ingame_img_count_6.png
900,760,0,0,0,skill5cool6,0,0,1,0,ingame_img_count_6.png,ingame_img_count_6.png,ingame_img_count_6.png,ingame_img_count_6.png
600,760,0,0,0,skill1cool7,0,0,1,0,ingame_img_count_7.png,ingame_img_count_7.png,ingame_img_count_7.png,ingame_img_count_7.png
675,760,0,0,0,skill2cool7,0,0,1,0,ingame_img_count_7.png,ingame_img_count_7.png,ingame_img_count_7.png,ingame_img_count_7.png
750,760,0,0,0,skill3cool7,0,0,1,0,ingame_img_count_7.png,ingame_img_count_7.png,ingame_img_count_7.png,ingame_img_count_7.png
825,760,0,0,0,skill4cool7,0,0,1,0,ingame_img_count_7.png,ingame_img_count_7.png,ingame_img_count_7.png,ingame_img_count_7.png
900,760,0,0,0,skill5cool7,0,0,1,0,ingame_img_count_7.png,ingame_img_count_7.png,ingame_img_count_7.png,ingame_img_count_7.png
600,760,0,0,0,skill1cool8,0,0,1,0,ingame_img_count_8.png,ingame_img_count_8.png,ingame_img_count_8.png,ingame_img_count_8.png
675,760,0,0,0,skill2cool8,0,0,1,0,ingame_img_count_8.png,ingame_img_count_8.png,ingame_img_count_8.png,ingame_img_count_8.png
750,760,0,0,0,skill3cool8,0,0,1,0,ingame_img_count_8.png,ingame_img_count_8.png,ingame_img_count_8.png,ingame_img_count_8.png
825,760,0,0,0,skill4cool8,0,0,1,0,ingame_img_count_8.png,ingame_img_count_8.png,ingame_img_count_8.png,ingame_img_count_8.png
900,760,0,0,0,skill5cool8,0,0,1,0,ingame_img_count_8.png,ingame_img_count_8.png,ingame_img_count_8.png,ingame_img_count_8.png
600,760,0,0,0,skill1cool9,0,0,1,0,ingame_img_count_9.png,ingame_img_count_9.png,ingame_img_count_9.png,ingame_img_count_9.png
675,760,0,0,0,skill2cool9,0,0,1,0,ingame_img_count_9.png,ingame_img_count_9.png,ingame_img_count_9.png,ingame_img_count_9.png
750,760,0,0,0,skill3cool9,0,0,1,0,ingame_img_count_9.png,ingame_img_count_9.png,ingame_img_count_9.png,ingame_img_count_9.png
825,760,0,0,0,skill4cool9,0,0,1,0,ingame_img_count_9.png,ingame_img_count_9.png,ingame_img_count_9.png,ingame_img_count_9.png
900,760,0,0,0,skill5cool9,0,0,1,0,ingame_img_count_9.png,ingame_img_count_9.png,ingame_img_count_9.png,ingame_img_count_9.png
-200,-200,1,0,0,healwell,0,0,1,99,ingame_btn_healwell_1.png,ingame_btn_healwell_1.png,ingame_btn_healwell_1.png,ingame_btn_healwell_4.png
985,779,1,0,0,gohome,0,0,1,99,ingame_btn_recall_1.png,ingame_btn_recall_2.dds,ingame_btn_recall_2.dds,ingame_btn_recall_1.png
985,779,1,0,0,gohomeimg,0,0,0,99,ingame_img_recall_1.png,0,0,0
20,650,1,0,1,charport,0,0,1,106,ingame_btn_portrait_1.png,ingame_btn_portrait_2.png,ingame_btn_portrait_2.png,ingame_btn_portrait_1.png
20,650,1,0,0,charportimg,0,0,0,0,ingame_img_portrait_char.png,0,0,0
160,730,1,0,0,botbarbg,0,0,0,99,ingame_img_bottom_barbg_2.png,0,0,0
210,740,1,0,0,bothp,0,0,0,0,ingame_img_bottom_hp.png,0,0,0
210,740,1,0,1,bothpbg,0,0,0,0,ingame_img_bottom_hp_bg.png,0,0,0
204,752,1,0,0,botmp,0,0,0,0,ingame_img_bottom_mp.png,0,0,0
204,752,1,0,1,botmpbg,0,0,0,0,ingame_img_bottom_mp_bg.png,0,0,0
164,783,1,0,1,healwellbtn1,0,0,1,99,ingame_btn_healwell_1.png,ingame_btn_healwell_2.png,ingame_btn_healwell_2.png,ingame_btn_healwell_4.png
-20,470,0,0,0,choosebg,0,0,0,0,ingame_img_choosetalent_bg.png,0,0,0
-20,400,0,0,0,choose0,0,0,0,0,ingame_img_choosetalent_0.png,0,0,0
-20,440,0,0,0,choose1,0,0,0,0,ingame_img_choosetalent_1.png,0,0,0
-20,480,0,0,0,choose2,0,0,0,0,ingame_img_choosetalent_2.png,0,0,0
-20,520,0,0,0,choose3,0,0,0,0,ingame_img_choosetalent_3.png,0,0,0
20,450,0,0,0,unlockskill1,0,0,1,120,mainmenu_button_ability_title_2.png,mainmenu_button_ability_title_2_1.png,mainmenu_button_ability_title_2_1.png,mainmenu_button_ability_title_2.png
20,480,0,0,0,unlockskill2,0,0,1,121,mainmenu_button_ability_title_1.png,mainmenu_button_ability_title_1_1.png,mainmenu_button_ability_title_1_1.png,mainmenu_button_ability_title_1.png
20,510,0,0,0,unlockskill3,0,0,1,122,mainmenu_button_ability_title_3.png,mainmenu_button_ability_title_3_1.png,mainmenu_button_ability_title_3_1.png,mainmenu_button_ability_title_3.png
